isotype,allele,ALL,start_s,stop_s,plotpoint_hi,swept_haplotype,CHROM,peakPOS,facet_marker,genotype,Genotypes
ED3005,-1,REF,2482702,2538995,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,2538995,2624924,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,2625196,2889815,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,2891945,3067760,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,3254820,3280545,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,3067760,3199945,50,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,2482006,2482702,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,2624924,2625196,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,2889815,2891528,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,2891528,2891945,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,3199945,3200761,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,3250702,3254820,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,2437668,2482006,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,2482702,2538995,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,2538995,2624924,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,2625196,2889815,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,2891945,3067760,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,3254820,3280545,48,FALSE,II,2622125,II:2622125,swept,swept
ED3011,-1,REF,3067760,3199945,48,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2311712,2312091,29,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2312091,2314788,29,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2470935,2471894,29,TRUE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2483900,2485503,29,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2586423,2586560,29,TRUE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2314788,2335592,29,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2335592,2354239,29,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2398969,2413262,29,TRUE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2413262,2470935,29,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2471894,2483900,29,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2354239,2398969,29,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2485503,2586423,29,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2586560,2703466,29,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,2703466,3087653,29,FALSE,II,2622125,II:2622125,swept,swept
ED3012,-1,REF,3087653,3280545,29,FALSE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2319744,2324723,42,FALSE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2332263,2334199,42,TRUE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2451270,2457363,42,TRUE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2475449,2476300,42,FALSE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2476300,2476693,42,TRUE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2681440,2682504,42,TRUE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2300750,2319744,42,FALSE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2324723,2332263,42,FALSE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2457363,2470615,42,FALSE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2470615,2475449,42,TRUE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2210463,2246309,42,FALSE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2334199,2451270,42,FALSE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2476693,2681440,42,FALSE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2184029,2210463,42,TRUE,II,2622125,II:2622125,swept,swept
ED3040,-1,REF,2682504,3183525,42,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2703466,2704282,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2884607,2888435,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2888435,2891528,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2891528,2893390,10,TRUE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2893390,2894499,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2894499,2896175,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,3260890,3261387,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,3261387,3261514,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,3261514,3263517,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2896175,2903782,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2903782,2942549,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2942549,2971025,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2586560,2703466,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2704282,2884607,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2971025,3059216,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,3263517,3280545,10,FALSE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,2184029,2586560,10,TRUE,II,2622125,II:2622125,swept,swept
EG4349,-1,REF,3059216,3260890,10,FALSE,II,2622125,II:2622125,swept,swept
EG4946,-1,REF,2413262,2413889,45,FALSE,II,2622125,II:2622125,swept,swept
EG4946,-1,REF,2624924,2625196,45,FALSE,II,2622125,II:2622125,swept,swept
EG4946,-1,REF,2889815,2891528,45,FALSE,II,2622125,II:2622125,swept,swept
EG4946,-1,REF,2891528,2891945,45,FALSE,II,2622125,II:2622125,swept,swept
EG4946,-1,REF,2413889,2624924,45,FALSE,II,2622125,II:2622125,swept,swept
EG4946,-1,REF,2625196,2889815,45,FALSE,II,2622125,II:2622125,swept,swept
EG4946,-1,REF,2184029,2413262,45,FALSE,II,2622125,II:2622125,swept,swept
EG4946,-1,REF,2891945,3280545,45,FALSE,II,2622125,II:2622125,swept,swept
GXW1,-1,REF,2184029,3280545,7,TRUE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2343657,2354239,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2470935,2471894,2,TRUE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2483900,2485503,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2586423,2586560,2,TRUE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2703466,2704282,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2884607,2888435,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2888435,2891528,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2891528,2893390,2,TRUE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2893390,2894499,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2894499,2896175,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2999974,3000461,2,TRUE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,3199015,3199945,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,3199945,3205505,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,3214755,3221762,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,3239556,3243924,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2312142,2335592,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2398969,2413262,2,TRUE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2413262,2470935,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2471894,2483900,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2896175,2999974,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,3205505,3214755,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,3221762,3239556,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2210463,2312142,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2354239,2398969,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2485503,2586423,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2586560,2703466,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2704282,2884607,2,FALSE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,2184029,2210463,2,TRUE,II,2622125,II:2622125,swept,swept
JT11398,-1,REF,3000461,3199015,2,FALSE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2184029,2185519,6,FALSE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2185519,2186128,6,FALSE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2319744,2324723,6,FALSE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2332263,2334199,6,TRUE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2451270,2457363,6,TRUE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2475449,2476300,6,FALSE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2476300,2476693,6,TRUE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2681440,2682504,6,TRUE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2324723,2332263,6,FALSE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2457363,2470615,6,FALSE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2470615,2475449,6,TRUE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,3224332,3242266,6,FALSE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2186128,2319744,6,FALSE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2334199,2451270,6,FALSE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2476693,2681440,6,FALSE,II,2622125,II:2622125,swept,swept
JU1088,-1,REF,2682504,3224332,6,FALSE,II,2622125,II:2622125,swept,swept
JU1172,-1,REF,2413262,2413889,46,FALSE,II,2622125,II:2622125,swept,swept
JU1172,-1,REF,2624924,2625196,46,FALSE,II,2622125,II:2622125,swept,swept
JU1172,-1,REF,2889815,2891528,46,FALSE,II,2622125,II:2622125,swept,swept
JU1172,-1,REF,2891528,2891945,46,FALSE,II,2622125,II:2622125,swept,swept
JU1172,-1,REF,2184029,2413262,46,FALSE,II,2622125,II:2622125,swept,swept
JU1172,-1,REF,2413889,2624924,46,FALSE,II,2622125,II:2622125,swept,swept
JU1172,-1,REF,2625196,2889815,46,FALSE,II,2622125,II:2622125,swept,swept
JU1172,-1,REF,2891945,3280545,46,FALSE,II,2622125,II:2622125,swept,swept
JU1200,-1,REF,2475449,2476300,28,FALSE,II,2622125,II:2622125,swept,swept
JU1200,-1,REF,2476300,2476693,28,FALSE,II,2622125,II:2622125,swept,swept
JU1200,-1,REF,2681440,2682504,28,FALSE,II,2622125,II:2622125,swept,swept
JU1200,-1,REF,2476693,2681440,28,FALSE,II,2622125,II:2622125,swept,swept
JU1200,-1,REF,2682504,3087653,28,FALSE,II,2622125,II:2622125,swept,swept
JU1200,-1,REF,2184029,2475449,28,FALSE,II,2622125,II:2622125,swept,swept
JU1200,-1,REF,3087653,3280545,28,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2470935,2471894,22,TRUE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2483900,2485503,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2586423,2586560,22,TRUE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2703466,2704282,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2761250,2761399,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2889923,2891528,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2891528,2893390,22,TRUE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2893390,2894499,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2894499,2896175,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2999974,3000461,22,TRUE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2312142,2335592,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2335592,2354239,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2398969,2413262,22,TRUE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2413262,2470935,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2471894,2483900,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2704282,2745227,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2761399,2879023,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2896175,2999974,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,3199015,3239556,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2210463,2312142,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2354239,2398969,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2485503,2586423,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2586560,2703466,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2745227,2761250,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2879023,2889923,22,FALSE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,2184029,2210463,22,TRUE,II,2622125,II:2622125,swept,swept
JU1242,-1,REF,3000461,3199015,22,FALSE,II,2622125,II:2622125,swept,swept
JU1395,-1,REF,2184029,3280545,25,TRUE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2312142,2314788,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2341125,2342154,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2470935,2471894,3,TRUE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2483900,2485503,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2586423,2586560,3,TRUE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2703466,2704282,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2884607,2888435,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2888435,2891528,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2891528,2893390,3,TRUE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2893390,2894499,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2894499,2896175,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2999974,3000461,3,TRUE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2342154,2353203,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2398969,2413262,3,TRUE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2413262,2470935,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2471894,2483900,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2896175,2999974,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2210463,2312142,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2353203,2398969,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2485503,2586423,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2586560,2703466,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2704282,2884607,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,3000461,3083664,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,3267704,3280545,3,FALSE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,2184029,2210463,3,TRUE,II,2622125,II:2622125,swept,swept
JU1491,-1,REF,3083664,3257835,3,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2470935,2471894,14,TRUE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2483900,2485503,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2586423,2586560,14,TRUE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2703466,2704282,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2884607,2888435,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2888435,2891528,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2891528,2893390,14,TRUE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2893390,2894499,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2894499,2896175,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2999974,3000461,14,TRUE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,3199015,3199945,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,3199945,3205505,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2337985,2343657,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2398969,2413262,14,TRUE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2413262,2470935,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2471894,2483900,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2896175,2999974,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2210463,2238388,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2343657,2398969,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2485503,2586423,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2586560,2703466,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2704282,2884607,14,FALSE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,2184029,2210463,14,TRUE,II,2622125,II:2622125,swept,swept
JU1530,-1,REF,3000461,3199015,14,FALSE,II,2622125,II:2622125,swept,swept
JU1568,-1,REF,2475449,2476300,30,FALSE,II,2622125,II:2622125,swept,swept
JU1568,-1,REF,2476300,2476693,30,FALSE,II,2622125,II:2622125,swept,swept
JU1568,-1,REF,2681440,2682504,30,FALSE,II,2622125,II:2622125,swept,swept
JU1568,-1,REF,2476693,2681440,30,FALSE,II,2622125,II:2622125,swept,swept
JU1568,-1,REF,2682504,3087653,30,FALSE,II,2622125,II:2622125,swept,swept
JU1568,-1,REF,2184029,2475449,30,FALSE,II,2622125,II:2622125,swept,swept
JU1568,-1,REF,3087653,3280545,30,FALSE,II,2622125,II:2622125,swept,swept
JU1581,-1,REF,2312142,2318224,20,FALSE,II,2622125,II:2622125,swept,swept
JU1581,-1,REF,2470935,2471894,20,TRUE,II,2622125,II:2622125,swept,swept
JU1581,-1,REF,2483900,2485503,20,FALSE,II,2622125,II:2622125,swept,swept
JU1581,-1,REF,2586423,2586560,20,TRUE,II,2622125,II:2622125,swept,swept
JU1581,-1,REF,2703466,2704282,20,FALSE,II,2622125,II:2622125,swept,swept
JU1581,-1,REF,2884607,2888435,20,FALSE,II,2622125,II:2622125,swept,swept
JU1581,-1,REF,2888435,2891528,20,FALSE,II,2622125,II:2622125,swept,swept
JU1581,-1,REF,2891528,2893390,20,TRUE,II,2622125,II:2622125,swept,swept
JU1581,-1,REF,2893390,2894499,20,FALSE,II,2622125,II:2622125,swept,swept
JU1581,-1,REF,2894499,2896175,20,FALSE,II,2622125,II:2622125,swept,swept
JU1581,-1,REF,2999974,3000461,20,TRUE,II,2622125,II:2622125,swept,swept
