pheno,marker,genotype
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
-34.6515151515151,II:3646789,QX-RIAILs
5.35,II:3646789,CB-RIAILs
3.46428571428571,II:3646789,CB-RIAILs
-19.9703703703704,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
-15.5357142857143,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
-45.9848484848485,II:3646789,CB-RIAILs
-19.5357142857143,II:3646789,CB-RIAILs
-25.6958333333333,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
-28.3181818181818,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
7.65416666666666,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
66.9875,II:3646789,CB-RIAILs
4.82945736434108,II:3646789,QX-RIAILs
18.1627906976744,II:3646789,CB-RIAILs
-0.316666666666657,II:3646789,QX-RIAILs
-12.6515151515151,II:3646789,CB-RIAILs
-3.50387596899224,II:3646789,QX-RIAILs
41.9875,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
32.4961240310078,II:3646789,CB-RIAILs
44.1627906976744,II:3646789,CB-RIAILs
-31.3458333333333,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
19.6818181818182,II:3646789,CB-RIAILs
-6.34469696969696,II:3646789,QX-RIAILs
-9.31666666666666,II:3646789,CB-RIAILs
12.0166666666667,II:3646789,QX-RIAILs
-11.8690476190476,II:3646789,QX-RIAILs
32.655303030303,II:3646789,CB-RIAILs
-63.3181818181818,II:3646789,CB-RIAILs
37.9875,II:3646789,QX-RIAILs
-22.9848484848485,II:3646789,CB-RIAILs
-11.3166666666667,II:3646789,CB-RIAILs
8.82945736434108,II:3646789,CB-RIAILs
18.655303030303,II:3646789,CB-RIAILs
